'cState;dT (ms);dX (cm);dY (cm); encoder1 (puls); encoder2 (puls); encoder3 (puls)'
0;9;0;0;0;0;0
0;7;0;0;0;0;0
0;8;0;0;0;0;0
0;10;0;0;0;0;0
0;8;0;0;0;0;0
0;8;0;0;0;0;0
0;8;0;0;0;0;0
0;11;0;0;0;0;0
0;6;0;0;0;0;0
0;7;0;0;0;0;0
0;12;0;0;0;0;0
0;8;0;0;0;0;0
0;9;0;0;0;0;0
0;8;0;0;0;0;0
0;15;0;0;0;0;0
0;6;0;0;0;0;0
0;10;0;0;0;0;0
0;9;0;0;0;0;0
0;9;0;0;0;0;0
0;5;0;0;0;0;0
0;7;0;0;0;0;0
0;12;0;0;0;0;0
0;9;0;0;0;0;0
0;8;0;0;0;0;0
0;8;0;0;0;0;0
0;8;0;0;0;0;0
0;11;0;0;0;0;0
0;8;0;0;0;0;0
0;6;0;0;0;0;0
0;8;0;0;0;0;0
0;8;0;0;0;0;0
0;8;0;0;0;0;0
0;9;0;0;0;0;0
0;8;0;0;0;0;0
0;11;0;0;0;0;0
0;7;0;0;0;0;0
0;6;0;0;0;0;0
0;8;0;0;0;0;0
0;12;0;0;0;0;0
0;10;0;0;0;0;0
0;7;0;0;0;0;0
0;13;0;0;0;0;0
0;10;0;0;0;0;0
0;7;0;0;0;0;0
0;7;0;0;0;0;0
0;10;0;0;0;0;0
0;7;0;0;0;0;0
0;8;0;0;0;0;0
0;8;0;0;0;0;0
0;21;0;0;0;0;0
0;11;0;0;0;0;0
0;6;0;0;0;0;0
0;10;0;0;0;0;0
0;6;0;0;0;0;0
0;7;0;0;0;0;0
0;8;0;0;0;0;0
0;9;0;0;0;0;0
0;8;0;0;0;0;0
0;8;0;0;0;0;0
0;9;0;0;0;0;0
0;7;0;0;0;0;0
0;9;0;0;0;0;0
0;8;0;0;0;0;0
0;10;0;0;0;0;0
0;7;0;0;0;0;0
0;7;0;0;0;0;0
0;9;0;0;0;0;0
0;10;0;0;0;0;0
0;7;0;0;0;0;0
0;7;0;0;0;0;0
0;8;0;0;0;0;0
0;9;0;0;0;0;0
0;8;0;0;0;0;0
0;8;0;0;0;0;0
0;8;0;0;0;0;0
0;8;0;0;0;0;0
0;8;0;0;0;0;0
0;9;0;0;0;0;0
0;8;0;0;0;0;0
0;8;0;0;0;0;0
0;8;0;0;0;0;0
0;11;0;0;0;0;0
0;7;0;0;0;0;0
0;7;0;0;0;0;0
0;8;0;0;0;0;0
0;8;0;0;0;0;0
0;8;0;0;0;0;0
0;9;0;0;0;0;0
0;8;0;0;0;0;0
0;12;0;0;0;0;0
0;8;0;0;0;0;0
0;8;0;0;0;0;0
0;9;0;0;0;0;0
0;9;0;0;0;0;0
0;8;0;0;0;0;0
0;7;0;0;0;0;0
0;8;0;0;0;0;0
0;9;0;0;0;0;0
0;8;0;0;0;0;0
0;12;0;0;0;0;0
0;8;0;0;0;0;0
0;8;0;0;0;0;0
0;9;0;0;0;0;0
0;15;0;0;0;0;0
0;5;0;0;0;0;0
0;11;0;0;0;0;0
0;10;0;0;0;0;0
0;11;0;0;0;0;0
0;5;0;0;0;0;0
0;8;0;0;0;0;0
0;9;0;0;0;0;0
0;9;0;0;0;0;0
0;7;0;0;0;0;0
0;8;0;0;0;0;0
0;8;0;0;0;0;0
0;8;0;0;0;0;0
0;9;0;0;0;0;0
0;8;0;0;0;0;0
0;8;0;0;0;0;0
0;11;0;0;0;0;0
0;9;0;0;0;0;0
0;4;0;0;0;0;0
0;9;0;0;0;0;0
0;8;0;0;0;0;0
0;10;0;0;0;0;0
0;7;0;0;0;0;0
0;7;0;0;0;0;0
0;10;0;0;0;0;0
0;11;0;0;0;0;0
0;8;0;0;0;0;0
0;8;0;0;0;0;0
0;10;0;0;0;0;0
0;7;0;0;0;0;0
0;8;0;0;0;0;0
0;8;0;0;0;0;0
0;11;0;0;0;0;0
0;8;0;0;0;0;0
0;6;0;0;0;0;0
0;11;0;0;0;0;0
0;8;0;0;0;0;0
0;6;0;0;0;0;0
0;7;0;0;0;0;0
0;12;0;0;0;0;0
0;9;0;0;0;0;0
0;8;0;0;0;0;0
0;4;0;0;0;0;0
0;9;0;0;0;0;0
0;11;0;0;0;0;0
0;6;0;0;0;0;0
0;7;0;0;0;0;0
0;9;0;0;0;0;0
